BusinessEntityID,Name,AddressType,AddressLine1,AddressLine2,City,StateProvinceName,PostalCode,CountryRegionName
956,Finer Sales and Service,Main Office,#500-75 O'Connor Street,null,Ottawa,Ontario,K4B 1S2,Canada
780,Finer Riding Supplies,Main Office,#9900 2700 Production Way,null,Burnaby,British Columbia,V5A 4X1,Canada
1012,Stylish Department Stores,Main Office,1 Corporate Center Drive,null,Miami,Florida,33127,United States
482,Favorite Toy Distributor,Main Office,"1, place de la République",null,Paris,Seine (Paris),75017,France
1338,Sports Sales and Rental,Main Office,100 Fifth Drive,null,Millington,Tennessee,38054,United States
1424,Closeout Boutique,Main Office,1050 Oak Street,null,Seattle,Washington,98104,United States
1274,Self-Contained Cycle Parts Company,Main Office,"12, rue des Grands Champs",null,Verrieres Le Buisson,Essonne,91370,France
1958,Ultimate Bicycle Company,Main Office,"12, rue Lafayette",null,Morangis,Essonne,91420,France
1110,Local Sales and Rental,Main Office,1200 First Ave.,null,Joliet,Illinois,60433,United States
1262,Roadway Bicycle Supply,Main Office,"121, rue de Varenne",null,Courbevoie,Hauts de Seine,92400,France
1490,Engineered Bike Systems,Main Office,123 Camelia Avenue,null,Oxnard,California,93030,United States
704,Only Bikes and Accessories,Main Office,123 Union Square South,null,New York,New York,10007,United States
1480,Orange Bicycle Company,Main Office,123 W. Lake Ave.,null,Peoria,Illinois,61606,United States
642,Advanced Bike Components,Main Office,12345 Sterling Avenue,null,Irving,Texas,75061,United States
430,Center Cycle Shop,Shipping,1318 Lasalle Street,null,Bothell,Washington,98011,United States
1186,Basic Bike Company,Main Office,15 East Main,null,Port Orchard,Washington,98366,United States
932,Modular Cycle Systems,Shipping,165 North Main,null,Austin,Texas,78701,United States
1104,Outdoor Toy Store,Main Office,"18, rue de l´Esplanade",null,Aujan Mournede,Gers,32300,France
1170,Sample Bike Store,Shipping,2000 300th Street,null,Denver,Colorado,80203,United States
618,Petroleum Products Distributors,Main Office,20225 Lansing Ave,null,Montreal,Quebec,H1Y 2H7,Canada
502,Eighty Toy Stores,Main Office,2025 Greenwood Ct,null,Mcdonough,Georgia,30253,United States
1826,Executive Discount Store,Main Office,20500 S.W. 2512th Ave,null,Miami,Florida,33127,United States
1396,Racing Tours,Main Office,"21, avenue de la Gare",null,Sèvres,Hauts de Seine,92310,France
942,Wheels Inc.,Main Office,"21105, rue de Varenne",null,Paris,Seine (Paris),75013,France
1142,Major Amusement Company,Main Office,"2111, rue de Linois",null,Orly,Val de Marne,94310,France
866,Brand New Bikes,Main Office,"215, avenue Reille",null,Les Ulis,Essonne,91940,France
1154,Instant Cycle Store,Main Office,"21801, rue Léo Delibes",null,Colombes,Hauts de Seine,92700,France
1894,The Bike Outlet,Main Office,"22, rue du Départ",null,Pantin,Seine Saint Denis,93500,France
854,First Center,Main Office,"22, rue Lafayette",null,Pantin,Seine Saint Denis,93500,France
662,Fitness Toy Store,Main Office,220 Mercy Drive,null,Garland,Texas,75040,United States
530,Outdoor Distributors,Main Office,225 Hyde Rd,null,Farmington,Connecticut,06032,United States
822,Racing Bike Outlet,Main Office,225 South 314th Street,null,Federal Way,Washington,98003,United States
934,A Bike Store,Main Office,2251 Elliot Avenue,null,Seattle,Washington,98104,United States
1354,Ideal Components,Main Office,2-252 Beauchamp Road,Botany Bay Industrial Estate,Cloverdale,South Australia,6105,Australia
1936,Active Transport Inc.,Main Office,225200 Miles Ave.,null,North Randall,Ohio,44128,United States
676,Inexpensive Parts Shop,Main Office,2253 Miller Street,null,North Sydney,New South Wales,2055,Australia
350,Twin Cycles,Main Office,2253-217 Palmer Street,null,Darlinghurst,New South Wales,2010,Australia
1804,Cycle Clearance,Main Office,2255 254th Avenue Se,null,Albany,Oregon,97321,United States
556,Mechanical Products Ltd.,Main Office,22555 Paseo De Las Americas,null,San Diego,California,92102,United States
1888,Vintage Sport Boutique,Main Office,22571 South 2500 East,null,Idaho Falls,Idaho,83402,United States
622,Bikes and Motorbikes,Main Office,22580 Free Street,null,Toronto,Ontario,M4B 1V7,Canada
336,Imported and Domestic Cycles,Main Office,22589 West Craig Road,null,North Las Vegas,Nevada,89030,United States
914,Social Activities Club,Main Office,23025 S.W. Military Rd.,null,San Antonio,Texas,78204,United States
372,The Gear Store,Main Office,2345 North Freeway,null,Houston,Texas,77003,United States
1150,Certified Bicycle Supply,Main Office,2345 West Spencer Road,null,Lynnwood,Washington,98036,United States
514,Widget Bicycle Specialists,Main Office,23456 Calumet St,null,Clearwater,Florida,33755,United States
1238,Consolidated Messenger,Main Office,25 Danger Street West,Floor 7,Toronto,Ontario,M4B 1V5,Canada
624,Budget Toy Store,Main Office,25 Epping Road,null,Lavender Bay,New South Wales,2060,Australia
412,Gasless Cycle Shop,Main Office,25 First Canadian Place,null,Toronto,Ontario,M4B 1V5,Canada
1382,Shipping Specialists,Main Office,"25 Hartfield Road, Wimbledon",null,London,England,SW19 3RU,United Kingdom
740,Touring Services,Main Office,25 Myrtle Beach,null,Myrtle Beach,South Carolina,29577,United States
684,This Area Sporting Goods,Main Office,25 N State St,null,Chicago,Illinois,60610,United States
974,Leather and Vinyl Manufacturing,Main Office,250 E. County Line Rd.,null,Indianapolis,Indiana,46204,United States
1454,Recommended Bicycles,Main Office,250 Kingsbridge Garden Circle,null,Mississauga,Ontario,L5B 3V4,Canada
1874,Eighth Bike Store,Main Office,2500 N Serene Blvd,19th Floor,El Segundo,California,90245,United States
506,Third Bike Store,Main Office,2500 North Stemmons Freeway,null,Dallas,Texas,75201,United States
1418,"Health Spa, Limited",Main Office,2500 University Avenue,null,Toronto,Ontario,M4B 1V5,Canada
540,Metro Bike Works,Main Office,250000 Eight Mile Road,null,Detroit,Michigan,48226,United States
